ctyName,CCISO3,gdp_year,gdp_latest,gdp_growth_year,gdp_growth_latest,lpi_year,lpi_score,distance_from_th,fta_with_th,cte_2018,efi_score_2019,st_political risk,mlt_political risk,commercial risk,transfer restriction risk
Palau,PLW,2018.0,YES,2018.0,YES,,NO,YES,0,YES,NO,YES,YES,YES,YES
Panama,PAN,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Papua New Guinea,PNG,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Paraguay,PRY,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Peru,PER,2018.0,YES,2018.0,YES,2018.0,YES,YES,1,YES,YES,YES,YES,YES,YES
Philippines,PHL,2018.0,YES,2018.0,YES,2018.0,YES,YES,1,YES,YES,YES,YES,YES,YES
Poland,POL,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Portugal,PRT,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Qatar,QAT,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Rep. of Korea,KOR,2018.0,YES,2018.0,YES,2018.0,YES,YES,1,YES,YES,YES,YES,YES,YES
Rep. of Moldova,MDA,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Romania,ROU,2018.0,YES,2018.0,YES,,NO,YES,0,YES,YES,YES,YES,YES,YES
Russian Federation,RUS,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Rwanda,RWA,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
"Saint Kitts, Nevis and Anguilla",KNA,2018.0,YES,2018.0,YES,,NO,YES,0,YES,NO,YES,YES,YES,YES
Saint Lucia,LCA,2018.0,YES,2018.0,YES,,NO,YES,0,YES,YES,YES,YES,YES,YES
Saint Vincent and the Grenadines,VCT,2018.0,YES,2018.0,YES,,NO,YES,0,YES,YES,YES,YES,YES,YES
Samoa,WSM,2018.0,YES,2018.0,YES,,NO,YES,0,YES,YES,YES,YES,YES,YES
San Marino,SMR,2017.0,YES,2017.0,YES,,NO,YES,0,YES,NO,YES,YES,YES,YES
Sao Tome and Principe,STP,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Saudi Arabia,SAU,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Senegal,SEN,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Serbia,SRB,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Seychelles,SYC,2018.0,YES,2018.0,YES,,NO,YES,0,YES,YES,YES,YES,YES,YES
Sierra Leone,SLE,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Singapore,SGP,2018.0,YES,2018.0,YES,2018.0,YES,YES,1,YES,YES,YES,YES,YES,YES
Slovakia,SVK,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Slovenia,SVN,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Solomon Islands,SLB,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Somalia,SOM,2018.0,YES,1990.0,YES,2018.0,YES,YES,0,YES,NO,YES,YES,YES,YES
